WINNING_TEAM, LOSING_TEAM
Central Conn,F Dickinson
Miami OH,C Michigan
Arkansas St,North Texas
Hartford,Boston Univ
Notre Dame,DePaul
WI Green Bay,Loyola-Chicago
San Francisco,Pepperdine
St Bonaventure,Duquesne
Iowa St,Baylor
Indiana,Michigan
Boston College,Clemson
Murray St,Austin Peay
Butler,Rhode Island
Harvard,Brown
Ohio St,Nebraska
Northeastern,Drexel
Cincinnati,Seton Hall
Princeton,Columbia
Oral Roberts,SE Louisiana
Montana St,Portland St
Toledo,N Illinois
Quinnipiac,Wagner
Oklahoma St,Kansas
Citadel,Furman
North Florida,Stetson
N Kentucky,SC Upstate
Boise St,UNLV
Northern Iowa,Wichita St
Marshall,UCF
Sam Houston St,TAM C. Christi
American Univ,Lafayette
Houston,SMU
Washington,Arizona St
Alabama,Vanderbilt
California,Oregon
Kentucky,Texas A&M
Ark Pine Bluff,Alabama St
Southern Miss,UAB
South Alabama,Ark Little Rock
Edwardsville,E Illinois
Utah,Colorado
Air Force,San Diego St
FL Gulf Coast,Jacksonville
Cent Arkansas,Nicholls St
Canisius,Iona
Florida Intl,ULM
TX Pan American,Chicago St
Drake,Indiana St
Idaho,San Jose St
Robert Morris,Long Island
St Francis PA,St Francis NY
Stony Brook,New Hampshire
Ga Southern,Chattanooga
Loyola MD,Niagara
ETSU,Lipscomb
Bethune-Cookman,Florida A&M
Hampton,Morgan St
NC A&T,MD E Shore
Kansas St,Oklahoma
Long Beach St,Cal Poly SLO
Cornell,Penn
Hawaii,CS Fullerton
UC Irvine,Santa Barbara
Gonzaga,San Diego
Richmond,Xavier
MD Baltimore Co,Maine
Charlotte,Massachusetts
Missouri St,Evansville
Miami FL,NC State
LSU,Mississippi St
St Joseph's PA,Temple
Alabama A&M,MS Valley St
Louisville,Marquette
Northwestern LA,McNeese St
Lehigh,Army
Manhattan,St Peter's
Stanford,Oregon St
Rider,Marist
Georgia Tech,Virginia
Wisconsin,Illinois
Connecticut,South Florida
Providence,Villanova
Minnesota,Iowa
NC Central,MD E Shore
Alcorn St,Grambling
Southern Univ,Jackson St
Iowa St,Oklahoma
Syracuse,Notre Dame
Towson,UNC Wilmington
Howard,S Carolina St
George Mason,Old Dominion
Fairfield,Siena
Pittsburgh,Seton Hall
Delaware St,NC A&T
Ark Pine Bluff,Alabama A&M
Alabama St,MS Valley St
Hampton,Coppin St
Norfolk St,Morgan St
Wright St,Loyola-Chicago
West Virginia,Texas
San Diego,Loy Marymount
Northern Arizona,CS Sacramento
North Carolina,Wake Forest
Valparaiso,IL Chicago
Villanova,DePaul
Miami FL,Boston College
Kentucky,South Carolina
Akron,C Michigan
Arkansas,Florida
Northern Iowa,Missouri St
Purdue,Penn St
Kansas St,Texas Tech
Boston Univ,Maine
Cleveland St,Youngstown St
Bradley,Evansville
Liberty,Radford
S Illinois,Wichita St
Michigan,Ohio St
Florida St,Georgia Tech
VMI,Longwood
Massachusetts,Rhode Island
Ohio,Ball St
Albany NY,MD Baltimore Co
New Mexico,Air Force
Marquette,South Florida
G Washington,Duquesne
Houston Bap,Missouri KC
Louisville,Rutgers
Coastal Car,Charleston So
Towson,Delaware
Butler,St Bonaventure
NJIT,Colgate
E Michigan,Buffalo
Indiana St,Creighton
Mississippi,Mississippi St
Oregon St,Utah
St Louis,Fordham
Bowling Green,N Illinois
Tulane,Marshall
Vermont,New Hampshire
Hartford,Binghamton
UNC Asheville,Winthrop
UTEP,Rice
Robert Morris,St Francis PA
Auburn,Alabama
Michigan St,Minnesota
James Madison,William & Mary
Fresno St,UNLV
Wagner,Mt St Mary's
Memphis,SMU
Illinois St,Drake
Wyoming,CS Bakersfield
UAB,Tulsa
Arizona,Stanford
TCU,Kansas
Dayton,St Joseph's PA
W Michigan,Kent
High Point,Campbell
St John's,Connecticut
Georgia,Tennessee
Northeastern,Hofstra
Providence,Cincinnati
UNC Wilmington,Georgia St
Wisconsin,Iowa
Colorado St,Nevada
Presbyterian,Gardner Webb
UCF,Southern Miss
New Orleans,TX Pan American
Oklahoma St,Baylor
Toledo,Miami OH
Temple,Charlotte
LSU,Vanderbilt
San Diego St,Boise St
Marist,Iona
Virginia,Clemson
SF Austin,Cent Arkansas
E Illinois,TN Martin
Gonzaga,Pepperdine
UT Arlington,Texas St
Louisiana Tech,UT San Antonio
FL Gulf Coast,ETSU
UNC Greensboro,Furman
St Mary's CA,Santa Clara
Hawaii,Long Beach St
Florida Intl,FL Atlantic
W Illinois,NE Omaha
Fairfield,St Peter's
Denver,Seattle
Quinnipiac,Monmouth NJ
Davidson,W Carolina
Manhattan,Canisius
Chattanooga,Citadel
Middle Tenn St,Arkansas St
Duke,NC State
Old Dominion,Drexel
Northwestern LA,Oral Roberts
W Kentucky,North Texas
Wofford,Elon
Ark Little Rock,ULM
Montana,N Colorado
Portland,Loy Marymount
SE Missouri St,Edwardsville
North Dakota,Montana St
CS Northridge,UC Irvine
North Florida,Kennesaw
Detroit,WI Milwaukee
UC Davis,Santa Barbara
Stetson,SC Upstate
Bryant,St Francis NY
Sacred Heart,F Dickinson
Northern Arizona,Portland St
San Diego,BYU
Long Island,Central Conn
S Dakota St,IPFW
Tennessee St,Austin Peay
CS Sacramento,E Washington
Murray St,Belmont
Appalachian St,Ga Southern
Maryland,Virginia Tech
Cal Poly SLO,Pacific
USC,Washington St
Col Charleston,Samford
Lamar,TAM C. Christi
Arizona St,California
South Alabama,Troy
Oakland,N Dakota St
Hampton,Savannah St
Mercer,Jacksonville
Rider,Niagara
Illinois,Indiana
Wright St,WI Green Bay
Texas A&M,Missouri
New Mexico St,Idaho
UCLA,Washington
Southern Utah,Idaho St
Youngstown St,Loyola-Chicago
McNeese St,Sam Houston St
Colorado,Oregon
Lipscomb,N Kentucky
Princeton,Brown
Loyola MD,Siena
UNC Asheville,VMI
Yale,Penn
Dartmouth,Columbia
Harvard,Cornell
Notre Dame,Louisville
Middle Tenn St,Troy
Sam Houston St,Lamar
La Salle,Fordham
Davidson,Appalachian St
Morgan St,Coppin St
Wichita St,Missouri St
Villanova,South Florida
Baylor,Texas Tech
Utah St,San Jose St
Miami FL,North Carolina
Wake Forest,Florida St
Florida,Mississippi St
FL Gulf Coast,SC Upstate
Penn,Brown
Lafayette,Navy
Cornell,Dartmouth
SMU,Rice
San Diego St,Fresno St
Murray St,Tennessee St
Boston Univ,Binghamton
E Kentucky,Morehead St
Northwestern LA,Cent Arkansas
Mercer,North Florida
Montana,North Dakota
Howard,MD E Shore
Missouri,Mississippi
Gonzaga,Loy Marymount
Vanderbilt,Arkansas
Massachusetts,St Joseph's PA
Charleston So,Campbell
Norfolk St,Delaware St
Arkansas St,W Kentucky
Weber St,Southern Utah
Utah Valley,TX Pan American
Denver,Idaho
American Univ,Colgate
Missouri KC,South Dakota
Kent,C Michigan
Columbia,Harvard
Wright St,WI Milwaukee
Louisiana Tech,Texas St
Cal Poly SLO,UC Davis
Maine,Albany NY
Tennessee Tech,Jacksonville St
Iowa,Northwestern
UAB,Marshall
Nebraska,Penn St
UCLA,Washington St
Memphis,Southern Miss
Oklahoma St,Texas
N Colorado,Montana St
West Virginia,TCU
SE Missouri St,E Illinois
Michigan St,Purdue
Belmont,Austin Peay
Santa Barbara,Pacific
Vermont,MD Baltimore Co
San Francisco,BYU
High Point,Coastal Car
Samford,Citadel
CS Fullerton,UC Riverside
Radford,Presbyterian
Marquette,DePaul
SE Louisiana,Nicholls St
Mt St Mary's,St Francis PA
UCF,East Carolina
St Louis,Richmond
Pittsburgh,Cincinnati
Georgia Tech,Virginia Tech
NC A&T,Bethune-Cookman
Kentucky,Auburn
Prairie View,Grambling
SF Austin,Oral Roberts
North Texas,Florida Intl
St Mary's CA,San Diego
Ohio,Bowling Green
WI Green Bay,Detroit
Hofstra,UNC Wilmington
UNLV,New Mexico
Kansas St,Iowa St
TN Martin,Edwardsville
Wofford,UNC Greensboro
W Carolina,Ga Southern
Oregon,Utah
Valparaiso,Cleveland St
Toledo,E Michigan
Towson,Georgia St
NC Central,Florida A&M
Xavier,Duquesne
Delaware,George Mason
TX Southern,Jackson St
Houston Bap,New Orleans
Kennesaw,Jacksonville
NE Omaha,IUPUI
Lehigh,Holy Cross
Alabama St,Alabama A&M
VA Commonwealth,Charlotte
Iona,Rider
Boise St,Wyoming
St Bonaventure,Rhode Island
Georgetown,Rutgers
Longwood,Winthrop
Oklahoma,Kansas
Georgia,Texas A&M
CS Sacramento,Portland St
Hawaii,UC Irvine
Hartford,Stony Brook
Buffalo,N Illinois
Oakland,S Dakota St
MS Valley St,Alcorn St
NJIT,Chicago St
Nevada,Air Force
Northeastern,Old Dominion
UT Arlington,UT San Antonio
Akron,Miami OH
Tulsa,UTEP
Pepperdine,Portland
Elon,Furman
Savannah St,S Carolina St
Yale,Princeton
N Dakota St,IPFW
Monmouth NJ,F Dickinson
Robert Morris,Wagner
Butler,G Washington
Wisconsin,Michigan
Ark Pine Bluff,Southern Univ
Tulane,Houston
E Washington,Northern Arizona
Ball St,W Michigan
Stanford,Arizona St
Gardner Webb,Liberty
Col Charleston,Chattanooga
Alabama,LSU
TAM C. Christi,McNeese St
New Mexico St,Seattle
Illinois St,Creighton
Long Beach St,CS Northridge
Bucknell,Army
Temple,Dayton
South Alabama,FL Atlantic
Indiana St,S Illinois
ETSU,Stetson
ULL,ULM
Syracuse,St John's
Indiana,Ohio St
Drexel,James Madison
Connecticut,Seton Hall
Virginia,Maryland
USC,Washington
St Peter's,Siena
Long Island,St Francis NY
California,Arizona
Canisius,Niagara
Evansville,Drake
Tennessee,South Carolina
IL Chicago,Youngstown St
Marist,Loyola MD
Illinois,Minnesota
Colorado,Oregon St
Northern Iowa,Bradley
NC State,Clemson
Duke,Boston College
Ark Pine Bluff,Alcorn St
TX Southern,Grambling
Oklahoma,TCU
Norfolk St,MD E Shore
Kansas,Kansas St
Weber St,Idaho St
Georgetown,Marquette
NC A&T,Florida A&M
NC Central,Bethune-Cookman
Appalachian St,Furman
Jackson St,Prairie View
Northeastern,William & Mary
Southern Univ,MS Valley St
Chattanooga,Samford
Delaware,Old Dominion
Morgan St,Howard
W Carolina,Wofford
Hampton,Delaware St
Detroit,Cleveland St
Michigan St,Michigan
Manhattan,Fairfield
Virginia,Virginia Tech
WI Milwaukee,Loyola-Chicago
Cincinnati,Villanova
Florida,Kentucky
Holy Cross,Navy
CS Bakersfield,UT San Antonio
Valparaiso,Wright St
Alabama,Georgia
Boston Univ,Vermont
Rutgers,Seton Hall
Missouri St,Indiana St
Missouri,Mississippi St
High Point,Longwood
Indiana,Nebraska
Stony Brook,Binghamton
Oklahoma St,Texas Tech
Memphis,UCF
Wyoming,Nevada
Illinois St,Bradley
Illinois,Purdue
Baylor,West Virginia
Long Beach St,CS Fullerton
Ohio,C Michigan
Houston,UTEP
Georgia St,Hofstra
Kent,Miami OH
Army,Lafayette
Buffalo,Toledo
Wichita St,Drake
Air Force,UNLV
Lehigh,American Univ
Xavier,Fordham
East Carolina,UAB
Oregon,Washington
Tennessee,Vanderbilt
Southern Miss,Tulane
Bowling Green,W Michigan
Providence,South Florida
S Illinois,Evansville
Bucknell,Colgate
Connecticut,Syracuse
Akron,E Michigan
Arkansas,Auburn
Coastal Car,Presbyterian
Northern Iowa,Creighton
New Hampshire,MD Baltimore Co
St Joseph's PA,Richmond
New Mexico,Fresno St
William & Mary,UNC Wilmington
Miami FL,Florida St
Colorado St,San Diego St
James Madison,Towson
Winthrop,Charleston So
Utah,Arizona St
Duke,North Carolina
Notre Dame,DePaul
Charlotte,Butler
Ball St,N Illinois
UC Irvine,UC Riverside
La Salle,St Bonaventure
Radford,VMI
Boston College,Wake Forest
Rhode Island,Dayton
Texas,Iowa St
Maine,Hartford
Liberty,Campbell
Gardner Webb,UNC Asheville
Delaware,Northeastern
Texas A&M,Mississippi
Marshall,Rice
Oregon St,Washington St
S Dakota St,IUPUI
Idaho St,Montana St
Chattanooga,Furman
South Alabama,ULL
St Francis NY,F Dickinson
Arkansas St,Ark Little Rock
Weber St,Montana
UC Davis,Hawaii
Fairfield,Siena
Ga Southern,Citadel
Portland St,Southern Utah
Wagner,Central Conn
LSU,South Carolina
VA Commonwealth,Massachusetts
Gonzaga,St Mary's CA
Davidson,Col Charleston
Rider,St Peter's
Mt St Mary's,Bryant
Long Island,Monmouth NJ
Louisville,St John's
W Illinois,N Dakota St
California,UCLA
Colorado,Arizona
SF Austin,Nicholls St
ULM,North Texas
E Kentucky,Tennessee Tech
Tennessee St,Belmont
Mercer,SC Upstate
Stetson,Lipscomb
Ohio St,Northwestern
Oral Roberts,Sam Houston St
New Mexico St,San Jose St
Santa Clara,San Diego
ETSU,Kennesaw
Troy,Florida Intl
N Colorado,Northern Arizona
FL Gulf Coast,N Kentucky
Samford,Wofford
Austin Peay,E Illinois
TAM C. Christi,Cent Arkansas
Pacific,CS Northridge
George Mason,Drexel
FL Atlantic,W Kentucky
TX Pan American,CS Bakersfield
Louisiana Tech,Seattle
Minnesota,Wisconsin
Edwardsville,Murray St
IPFW,Missouri KC
St Francis PA,Sacred Heart
Morehead St,Jacksonville St
Loyola MD,Canisius
Clemson,Georgia Tech
Elon,Appalachian St
Northwestern LA,SE Louisiana
Denver,Utah St
UT Arlington,Idaho
Pepperdine,Loy Marymount
Portland,San Francisco
W Carolina,UNC Greensboro
Quinnipiac,Robert Morris
Iowa,Penn St
Savannah St,Florida A&M
Duquesne,Temple
North Dakota,CS Sacramento
Oakland,South Dakota
USC,Stanford
Harvard,Penn
Princeton,Dartmouth
Youngstown St,WI Milwaukee
Cornell,Yale
Georgetown,Cincinnati
WI Green Bay,Cleveland St
Brown,Columbia
Niagara,Marist
Jacksonville,North Florida
Manhattan,Iona
Long Beach St,UC Riverside
Jackson St,Grambling
N Dakota St,IUPUI
Iowa St,TCU
Arkansas St,ULM
Morgan St,MD E Shore
Florida,Auburn
Tennessee,Kentucky
Indiana,Purdue
VA Commonwealth,G Washington
Albany NY,Hartford
Kansas,Texas
Long Island,F Dickinson
Loyola MD,Siena
UAB,Rice
SE Missouri St,TN Martin
Denver,San Jose St
Kansas St,Baylor
Wofford,Chattanooga
UC Irvine,CS Fullerton
Yale,Columbia
Georgia St,George Mason
St Louis,Charlotte
Cal Poly SLO,Santa Barbara
Providence,Notre Dame
Akron,Bowling Green
Stony Brook,Vermont
Mercer,ETSU
Quinnipiac,St Francis PA
Stetson,N Kentucky
Longwood,Radford
UTEP,UCF
Davidson,Citadel
BYU,Portland
Wagner,Bryant
E Washington,Southern Utah
Delaware St,Coppin St
N Colorado,CS Sacramento
E Kentucky,Jacksonville St
IPFW,South Dakota
Memphis,Marshall
North Carolina,Virginia
William & Mary,Old Dominion
La Salle,St Joseph's PA
Bradley,Indiana St
SC Upstate,Kennesaw
LSU,Mississippi St
Oakland,Missouri KC
Harvard,Princeton
Austin Peay,Edwardsville
UC Davis,CS Northridge
Dayton,Xavier
UT San Antonio,Texas St
St Mary's CA,Loy Marymount
Samford,Furman
Tulane,SMU
Syracuse,Seton Hall
Marquette,Pittsburgh
New Mexico,Boise St
Gonzaga,San Francisco
Santa Clara,Pepperdine
Alabama,South Carolina
Penn,Dartmouth
Detroit,Valparaiso
Mississippi,Georgia
Lipscomb,FL Gulf Coast
Washington,Oregon St
Villanova,Connecticut
S Dakota St,W Illinois
Tulsa,Houston
Canisius,St Peter's
Loyola-Chicago,IL Chicago
Campbell,VMI
Col Charleston,Ga Southern
Southern Univ,Alabama St
Mt St Mary's,Central Conn
E Illinois,Murray St
Toledo,C Michigan
Monmouth NJ,St Francis NY
Michigan St,Nebraska
Pacific,Hawaii
Buffalo,Miami OH
W Michigan,N Illinois
Charleston So,UNC Asheville
UCLA,Stanford
NJIT,Utah Valley
Savannah St,NC Central
S Illinois,Missouri St
Weber St,Montana St
Towson,Hofstra
Vanderbilt,Texas A&M
Elon,W Carolina
Presbyterian,Winthrop
Gardner Webb,Coastal Car
McNeese St,Lamar
Northern Iowa,Drake
Alabama A&M,Alcorn St
Montana,Idaho St
DePaul,Rutgers
E Michigan,Ball St
UNC Wilmington,Northeastern
TX Southern,Ark Pine Bluff
Louisiana Tech,Idaho
Oklahoma St,Oklahoma
Robert Morris,Sacred Heart
Butler,Fordham
Sam Houston St,Cent Arkansas
Northwestern LA,Nicholls St
Rhode Island,Duquesne
High Point,Liberty
Florida Intl,W Kentucky
Middle Tenn St,Ark Little Rock
Houston Bap,TX Pan American
Oral Roberts,TAM C. Christi
NC State,Virginia Tech
Maine,Binghamton
Wyoming,Fresno St
Colgate,Lehigh
SE Louisiana,SF Austin
Southern Miss,East Carolina
Utah St,New Mexico St
Richmond,St Bonaventure
Ohio,Kent
Florida St,Boston College
Creighton,Evansville
Colorado St,Air Force
Cornell,Brown
Prairie View,MS Valley St
Northern Arizona,North Dakota
West Virginia,Texas Tech
S Carolina St,NC A&T
Arkansas,Missouri
Maryland,Duke
Oregon,Washington St
Morehead St,Tennessee Tech
North Texas,Troy
UNLV,San Diego St
UT Arlington,Seattle
James Madison,Delaware
Georgia Tech,Wake Forest
Army,Navy
Lafayette,Bucknell
Temple,Massachusetts
Florida A&M,Howard
ULL,FL Atlantic
Arizona St,Colorado
Wisconsin,Ohio St
Cleveland St,WI Milwaukee
Iowa,Minnesota
Illinois,Northwestern
Louisville,South Florida
WI Green Bay,Youngstown St
Boston Univ,New Hampshire
Michigan,Penn St
Appalachian St,UNC Greensboro
California,USC
Niagara,Manhattan
Arizona,Utah
Rider,Marist
American Univ,Holy Cross
Miami FL,Clemson
Wichita St,Illinois St
Ark Pine Bluff,Prairie View
NC Central,S Carolina St
TX Southern,MS Valley St
Bethune-Cookman,Howard
Southern Univ,Alabama A&M
William & Mary,Georgia St
Kansas St,West Virginia
Notre Dame,Pittsburgh
Drexel,Hofstra
Portland St,E Washington
Alabama St,Alcorn St
Villanova,Rutgers
Savannah St,NC A&T
Bucknell,Lehigh
Norfolk St,Hampton
Fairfield,Iona
Delaware St,Morgan St
MD E Shore,Coppin St
Longwood,Liberty
Stony Brook,MD Baltimore Co
Oral Roberts,Cent Arkansas
San Diego St,Wyoming
Marquette,Seton Hall
Butler,Duquesne
NC State,Florida St
Charleston So,Presbyterian
St Louis,VA Commonwealth
Creighton,S Illinois
Gardner Webb,Winthrop
North Carolina,Georgia Tech
High Point,VMI
Northwestern LA,TAM C. Christi
Nicholls St,Lamar
Boston College,Maryland
Tennessee,LSU
Texas,TCU
Valparaiso,Loyola-Chicago
McNeese St,SE Louisiana
Campbell,Radford
Northern Iowa,Missouri St
Fresno St,Nevada
Wichita St,Indiana St
Indiana,Michigan St
NE Omaha,Chicago St
Miami FL,Virginia
Missouri,Florida
BYU,Utah St
Coastal Car,UNC Asheville
Murray St,Morehead St
Gonzaga,Santa Clara
E Kentucky,Austin Peay
Davidson,Furman
Belmont,E Illinois
George Mason,Hofstra
Wisconsin,Northwestern
Ohio St,Minnesota
Syracuse,Providence
Georgetown,DePaul
Old Dominion,UNC Wilmington
Ohio,E Michigan
Arizona,Washington
Evansville,Illinois St
CS Fullerton,Cal Poly SLO
St John's,South Florida
Oklahoma,Texas Tech
UT Arlington,TX Pan American
Army,Colgate
Xavier,Rhode Island
Marshall,UCF
Vermont,Maine
Boise St,Air Force
Arizona St,Washington St
WI Milwaukee,IL Chicago
Boston Univ,Albany NY
Tennessee St,Edwardsville
East Carolina,Tulsa
Wright St,Cleveland St
Texas A&M,Auburn
UC Irvine,Pacific
UC Riverside,Santa Barbara
G Washington,Fordham
Alabama,Mississippi St
Drake,Bradley
Memphis,Houston
Southern Miss,UTEP
IPFW,Oakland
Navy,American Univ
SF Austin,Sam Houston St
Long Beach St,UC Davis
Hartford,New Hampshire
St Bonaventure,Massachusetts
Iowa St,Baylor
Hampton,MD E Shore
Kentucky,Vanderbilt
Lafayette,Holy Cross
Citadel,Appalachian St
Col Charleston,W Carolina
Northeastern,James Madison
Jacksonville St,SE Missouri St
North Dakota,N Colorado
UNLV,Colorado St
South Carolina,Mississippi
Kansas,Oklahoma St
CS Bakersfield,S Dakota St
Middle Tenn St,South Alabama
Duke,Virginia Tech
Bowling Green,New Orleans
UNC Greensboro,Chattanooga
Mercer,Lipscomb
Charleston So,VMI
Bryant,Central Conn
W Kentucky,ULM
Tennessee Tech,TN Martin
North Florida,ETSU
Florida Intl,Ark Little Rock
Mt St Mary's,Long Island
Robert Morris,Monmouth NJ
N Kentucky,Kennesaw
ULL,Troy
Colorado,Utah
Stanford,Oregon St
North Texas,FL Atlantic
Temple,La Salle
Connecticut,Cincinnati
Quinnipiac,Sacred Heart
St Mary's CA,BYU
Wofford,Ga Southern
St Francis PA,F Dickinson
Illinois,Penn St
Jacksonville,SC Upstate
Portland,San Diego
San Francisco,Loy Marymount
Delaware,Drexel
Arkansas,Georgia
California,Oregon
St Francis NY,Wagner
Elon,Samford
Princeton,Columbia
Harvard,Brown
Akron,N Dakota St
Yale,Dartmouth
Stetson,FL Gulf Coast
Penn,Cornell
SF Austin,Long Beach St
St Louis,Butler
Robert Morris,F Dickinson
Middle Tenn St,ULM
Vanderbilt,Mississippi St
Marist,VMI
Hawaii,Northern Arizona
Mississippi,Auburn
Gonzaga,San Diego
Kansas,TCU
Tulane,Rice
North Florida,SC Upstate
UNLV,Wyoming
Valparaiso,E Kentucky
Iowa St,Texas Tech
NJIT,New Orleans
Jackson St,MS Valley St
Princeton,Cornell
Belmont,Ohio
Louisville,Seton Hall
UT San Antonio,Nicholls St
Richmond,Fordham
Ga Southern,Furman
Arizona,Washington St
Mercer,N Kentucky
Florida,Arkansas
Columbia,Penn
Drake,WI Green Bay
Stony Brook,Maine
Memphis,Southern Miss
Oklahoma St,West Virginia
Ark Pine Bluff,Grambling
Niagara,Northwestern LA
Wake Forest,Miami FL
Lipscomb,Kennesaw
Wichita St,Detroit
Army,American Univ
Oklahoma,Baylor
FL Atlantic,Ark Little Rock
Winthrop,SE Louisiana
Maryland,Clemson
Colgate,Navy
Southern Univ,Alcorn St
San Diego St,Nevada
Toledo,McNeese St
IPFW,Bowling Green
Texas St,Lamar
St Joseph's PA,G Washington
Santa Clara,Portland
South Alabama,North Texas
Connecticut,DePaul
Kansas St,Texas
Evansville,Wright St
E Illinois,N Illinois
Quinnipiac,Bryant
Georgetown,Syracuse
North Carolina,NC State
Hofstra,Old Dominion
Oregon,Stanford
W Kentucky,ULL
Youngstown St,C Michigan
Murray St,S Dakota St
Massachusetts,Dayton
Houston Bap,Utah Valley
Bethune-Cookman,S Carolina St
TN Martin,Longwood
W Carolina,Coastal Car
Boston Univ,MD Baltimore Co
Boise St,Fresno St
New Mexico,Colorado St
Prairie View,Alabama St
Brown,Dartmouth
Washington,Arizona St
Utah St,Illinois St
UCF,Tulsa
Georgia,South Carolina
Lafayette,Lehigh
Mt St Mary's,St Francis NY
Central Conn,Sacred Heart
Tennessee,Texas A&M
Arkansas St,Troy
Albany NY,Fairfield
Vermont,Canisius
NE Omaha,North Dakota
Portland St,UC Riverside
St Mary's CA,Creighton
Coppin St,Howard
St Bonaventure,Duquesne
Kentucky,Missouri
St Peter's,Hampton
Kent,Loyola-Chicago
WI Milwaukee,IUPUI
Rider,Charleston So
UC Irvine,UT Arlington
Morgan St,High Point
San Francisco,Pepperdine
Harvard,Yale
CS Fullerton,TAM C. Christi
Davidson,Montana
S Illinois,Miami OH
Idaho,Idaho St
Liberty,Austin Peay
Savannah St,Campbell
Cleveland St,W Illinois
Tennessee Tech,Missouri KC
Denver,Northern Iowa
W Michigan,Pacific
E Washington,Sam Houston St
UAB,Marshall
VA Commonwealth,Xavier
NC Central,NC A&T
Georgia St,James Madison
Norfolk St,Delaware St
Villanova,Marquette
Chattanooga,Elon
Samford,UNC Greensboro
TX Pan American,Chicago St
Providence,Rutgers
New Mexico St,UTEP
Nebraska,Iowa
Weber St,Oral Roberts
LSU,Alabama
East Carolina,SMU
ETSU,Jacksonville
Missouri St,E Michigan
Gardner Webb,Col Charleston
Oakland,Morehead St
Ball St,SE Missouri St
Presbyterian,Citadel
Cal Poly SLO,Loy Marymount
Wagner,Long Island
George Mason,William & Mary
St Francis PA,Monmouth NJ
TX Southern,Alabama A&M
Jacksonville St,UNC Asheville
Cent Arkansas,Edwardsville
Loyola MD,Tennessee St
Towson,Drexel
California,Oregon St
Delaware,UNC Wilmington
Indiana St,Iona
Manhattan,Buffalo
Bradley,IL Chicago
UC Davis,N Colorado
Southern Utah,CS Northridge
CS Sacramento,Santa Barbara
Purdue,Northwestern
Virginia,Georgia Tech
Duke,Boston College
Notre Dame,Cincinnati
Temple,Charlotte
Bucknell,Holy Cross
Pittsburgh,St John's
UCLA,USC
Michigan,Illinois
New Hampshire,Binghamton
South Dakota,Montana St
Virginia Tech,Florida St
Ohio St,Michigan St
Siena,Radford
La Salle,Rhode Island
MS Valley St,Grambling
Kansas St,Texas Tech
TX Southern,Alabama St
Bryant,Sacred Heart
Bethune-Cookman,Savannah St
Houston Bap,New Orleans
Kansas,Iowa St
Hampton,Delaware St
Howard,MD E Shore
Prairie View,Alabama A&M
Marquette,Syracuse
Florida A&M,S Carolina St
Central Conn,Quinnipiac
Ark Pine Bluff,Jackson St
Seton Hall,Villanova
Wisconsin,Nebraska
Alabama,Auburn
VMI,Liberty
WI Green Bay,WI Milwaukee
Florida St,Wake Forest
Valparaiso,Youngstown St
E Illinois,Chicago St
N Dakota St,Utah Valley
Tennessee,Florida
IL Chicago,Wright St
Minnesota,Indiana
Xavier,Memphis
Detroit,Loyola-Chicago
St Mary's CA,Pepperdine
Illinois St,Missouri St
Kentucky,Mississippi St
Belmont,Edwardsville
Lehigh,Navy
Boise St,Nevada
Dayton,Charlotte
Louisville,DePaul
Pittsburgh,South Florida
Bucknell,American Univ
Coastal Car,Winthrop
Miami FL,Virginia Tech
Morgan St,Coppin St
NC State,Boston College
Creighton,Bradley
St Louis,St Joseph's PA
Oklahoma St,TCU
Lafayette,Colgate
Longwood,Campbell
E Michigan,N Illinois
UNC Asheville,Presbyterian
SMU,Rice
USC,Arizona
Drake,Indiana St
UTEP,Houston
Georgia Tech,Maryland
Iowa,Purdue
New Mexico,San Diego St
Richmond,G Washington
Mississippi,Texas A&M
Bowling Green,Miami OH
Akron,Ohio
Army,Holy Cross
Colorado St,Fresno St
Penn St,Michigan
Davidson,Elon
Northeastern,Georgia St
S Illinois,Northern Iowa
Texas,Oklahoma
Air Force,Wyoming
Radford,High Point
Gardner Webb,Charleston So
Ball St,C Michigan
LSU,Arkansas
UAB,Tulane
UCLA,Arizona St
Towson,George Mason
W Michigan,Toledo
Evansville,Wichita St
Baylor,West Virginia
Kent,Buffalo
Colorado,Stanford
William & Mary,UNC Wilmington
Delaware,Hofstra
Georgetown,Connecticut
Vanderbilt,Georgia
Morehead St,Tennessee St
Alabama A&M,Grambling
N Kentucky,North Florida
SE Missouri St,Austin Peay
North Texas,Arkansas St
Santa Clara,Loy Marymount
Louisiana Tech,Utah St
Missouri,South Carolina
Cal Poly SLO,CS Northridge
Wagner,F Dickinson
South Dakota,IUPUI
S Dakota St,NE Omaha
UT San Antonio,Idaho
California,Utah
Vermont,Binghamton
Stony Brook,Boston Univ
E Kentucky,Tennessee Tech
Weber St,CS Sacramento
Mt St Mary's,Monmouth NJ
Stetson,Kennesaw
TAM C. Christi,SE Louisiana
San Francisco,San Diego
TX Southern,Southern Univ
Hartford,MD Baltimore Co
Canisius,St Peter's
Quinnipiac,St Francis NY
Citadel,Furman
Ohio St,Northwestern
Middle Tenn St,Troy
Oregon,Oregon St
Chattanooga,W Carolina
Northern Arizona,Idaho St
Rider,Niagara
North Carolina,Clemson
Florida Intl,ULM
Ark Little Rock,ULL
Pacific,CS Fullerton
Ark Pine Bluff,MS Valley St
N Colorado,E Washington
North Dakota,Portland St
